stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code
de:08136:4325:0:2,Ellenb-Hintersteinbach Ort,49.003911,10.265507,,,,
de:08136:4327:0:1,Ellwangen Dietlesmühle Abzw.,49.031524,10.227778,,,,
de:08136:4328:0:1,Ellenbach-Haselbach Seestüble Bstg 1,48.982402,10.222289,,,,Bstg 1
de:08136:4400:0:01_a,Essingen Dauerwanger Straße,48.821282,10.054295,,de:08136:4400_Parent,,
de:08136:4400:0:02_e,Essingen Dauerwanger Straße,48.821342,10.054295,,de:08136:4400_Parent,,
de:08136:4400:0:1,Essingen Dauerwanger Straße,48.821288,10.054286,,de:08136:4400_Parent,,
de:08136:4400:0:2,Essingen Dauerwanger Straße,48.821288,10.054286,,de:08136:4400_Parent,,
de:08136:4400_Parent,Essingen Dauerwanger Straße,48.821288,10.054286,1,,,
de:08136:4402,Essingen Albuchstraße,48.806766,10.034307,,,,
de:08136:4405:0:01_a,Essingen Bauhaus,48.821620,10.047477,,de:08136:4405_Parent,,
de:08136:4405:0:02_e,Essingen Bauhaus,48.821702,10.047369,,de:08136:4405_Parent,,
de:08136:4405:0:1,Essingen Bauhaus,48.821631,10.047423,,de:08136:4405_Parent,,
de:08136:4405:0:2,Essingen Bauhaus,48.821631,10.047423,,de:08136:4405_Parent,,
de:08136:4405_Parent,Essingen Bauhaus,48.821631,10.047423,1,,,
de:08136:4406:0:01_a,Essingen Industriegebiet,48.822181,10.027184,,,,
de:08136:4406:0:02_e,Essingen Industriegebiet,48.822128,10.027040,,,,
de:08136:4407:0:01_e,Essingen Krähenbühl,48.814261,10.028046,,,,
de:08136:4407:0:02_a,Essingen Krähenbühl,48.814226,10.028208,,,,
de:08136:4408:0:gasth,Essingen Ritter Straßenseite Gasthaus,48.807535,10.028891,,,,Straßenseite Gasthaus
de:08136:4408:0:nord,Essingen Ritter gegenüber Gasthaus,48.807559,10.029079,,,,gegenüber Gasthaus
de:08136:4409:0:01_a,Essingen Rose,48.807866,10.023123,,,,
de:08136:4409:0:02_e,Essingen Rose,48.807760,10.023051,,,,
de:08136:4410,Essingen Schloßpark,48.810274,10.027328,,de:08136:4410_Parent,,
de:08136:4410:0:01_e,Essingen Schloßpark,48.810268,10.027220,,de:08136:4410_Parent,,
de:08136:4410:0:02_a,Essingen Schloßpark,48.810245,10.027363,,de:08136:4410_Parent,,
de:08136:4410:0:1,Essingen Schloßpark,48.810274,10.027328,,de:08136:4410_Parent,,
de:08136:4410_Parent,Essingen Schloßpark,48.810274,10.027328,1,,,
de:08136:4412:0:01_a,Essingen Tauchenweiler Str.,48.806032,10.027130,,,,
de:08136:4412:0:02_e,Essingen Tauchenweiler Str.,48.805943,10.027247,,,,
de:08136:4414,Essingen Tiede,48.820460,10.029376,,de:08136:4414_Parent,,
de:08136:4414:0:01_e,Essingen Tiede,48.820454,10.029286,,de:08136:4414_Parent,,
de:08136:4414:0:02_a,Essingen Tiede,48.820454,10.029439,,de:08136:4414_Parent,,
de:08136:4414:0:1,Essingen Tiede,48.820460,10.029376,,de:08136:4414_Parent,,
de:08136:4414_Parent,Essingen Tiede,48.820460,10.029376,1,,,
de:08136:4416:0:01_a,Forst Mitte,48.833796,10.023896,,,,
de:08136:4416:0:02_e,Forst Mitte,48.833790,10.023995,,,,
de:08136:4417,Forst Ortseingang,48.834760,10.022270,,,,
de:08136:4418,Forst Wendeplatte,48.831898,10.023761,,,,
de:08136:4421,Lauterburg Albstraße,48.783456,9.982133,,,,
de:08136:4422:0:01_a,Lauterburg Hirtenteich,48.784995,9.983166,,,,
de:08136:4422:0:02_e,Lauterburg Hirtenteich,48.785031,9.983247,,,,
de:08136:4423,Lauterburg Kirche,48.783095,9.977848,,,,
de:08136:4423:0:01_a,Lauterburg Kirche,48.783042,9.977812,,,,
de:08136:4423:0:02_e,Lauterburg Kirche,48.783065,9.977740,,,,
de:08136:4424,Lauterburg Wendeplatte,48.779922,9.982457,,,,
de:08136:4424:0:01_e,Lauterburg Wendeplatte,48.779922,9.982484,,,,
de:08136:4424:0:02_a,Lauterburg Wendeplatte,48.779875,9.982412,,,,
de:08136:4425,Essingen Stockert,48.819833,10.031064,,de:08136:4425_Parent,,
de:08136:4425:0:01_e,Essingen Stockert,48.819910,10.031020,,de:08136:4425_Parent,,
de:08136:4425:0:02_a,Essingen Stockert,48.819780,10.031073,,de:08136:4425_Parent,,
de:08136:4425:0:1,Essingen Stockert,48.819833,10.031064,,de:08136:4425_Parent,,
de:08136:4425_Parent,Essingen Stockert,48.819833,10.031064,1,,,
de:08136:4427:0:01_a,Essingen Aalener Straße,48.810203,10.030454,,,,
de:08136:4490,Aufhausen Turnhalle,48.861095,10.316944,,,,
de:08136:4490:0:1,Aufhausen Turnhalle,48.861084,10.316944,,,,
de:08136:4491,Aufhausen Dorfplatz,48.859086,10.318651,,,,
de:08136:4491:0:1,Aufhausen Dorfplatz,48.859068,10.318606,,,,
de:08136:4500:0:1,Hüttlingen-Bolzenweiler B 19,48.884038,10.097710,,,,
de:08136:4500:0:2,Hüttlingen-Bolzenweiler B 19,48.884038,10.097710,,,,
de:08136:4504:0:1,Hüttlingen Goldshöfer Str.,48.893578,10.102400,,,,
de:08136:4504:0:2,Hüttlingen Goldshöfer Str.,48.893578,10.102400,,,,
de:08136:4509:0:1,Hüttlingen Kocherwiesen/K3311,48.884901,10.096624,,,,
de:08136:4509:0:2,Hüttlingen Kocherwiesen/K3311,48.884901,10.096624,,,,
de:08136:4511:0:1,Hüttlingen Post,48.892763,10.100064,,,,
de:08136:4511:0:2,Hüttlingen Post,48.892763,10.100064,,,,
de:08136:4512:0:1,Hüttlingen Sulzdorfer Straße,48.897700,10.097693,,,,
de:08136:4512:0:2,Hüttlingen Sulzdorfer Straße,48.897700,10.097693,,,,
de:08136:4514:0:1,Niederalfingen,48.893778,10.080535,,,,
de:08136:4517:0:1,Straubenmühle,48.893991,10.091395,,,,
de:08136:4517:0:2,Straubenmühle,48.893991,10.091395,,,,
de:08136:4518:0:1,Sulzdorf,48.908565,10.088027,,,,
de:08136:4518:0:2,Sulzdorf,48.908565,10.088027,,,,
de:08136:4520:0:1,Zanken,48.895668,10.041117,,,,
de:08136:4520:0:2,Zanken,48.895668,10.041117,,,,
de:08136:4521:0:1,Hüttlingen Bärenhaldenweg,48.896158,10.110251,,,,
de:08136:4522:0:2,Hüttlingen Turnstraße,48.896649,10.105714,,,,
de:08136:4600,Buchmühle,49.059274,10.170735,,,,
de:08136:4601,Buchmühle Abzw.,49.058191,10.169199,,,,
de:08136:4602:0:1,Jagstzell-Dankoltsweiler,49.016950,10.129807,,,,
de:08136:4603:0:1,Jagstzell-Dietrichsweiler,49.003133,10.104421,,,,
de:08136:4604,Jagstzell-Eichenrain,49.028573,10.136643,,,,
de:08136:4606,Jagstzell-Grünberg,49.040946,10.061302,,,,
de:08136:4607,Jagstzell-Hahnenmühle,49.058609,10.183482,,,,
de:08136:4608,Jagstzell-Hegenberg,49.039604,10.068129,,,,
de:08136:4609:1:1,Jagstzell Bahnhof,49.031441,10.098402,,de:08136:4609_Parent,,
de:08136:4609:1:2,Jagstzell Bahnhof,49.031353,10.098375,,de:08136:4609_Parent,,
de:08136:4609:2:1,Jagstzell Bahnhof Bstg 1,49.031135,10.098717,,de:08136:4609_Parent,,Bstg 1
de:08136:4609:3:2,Jagstzell Bahnhof,49.031123,10.098807,,de:08136:4609_Parent,,
de:08136:4609_Parent,Jagstzell Bahnhof,49.031259,10.098591,1,,,
de:08136:4610,Jagstzell Kindergarten,49.030729,10.095159,,,,
de:08136:4612,Jagstzell Schule,49.031553,10.094989,,,,
de:08136:4613:0:1,Jagstzell-Kellerhof,49.042972,10.084820,,,,
de:08136:4613:0:2,Jagstzell-Kellerhof,49.042142,10.085260,,,,
de:08136:4614,Jagstzell-Riegelhof,49.037708,10.073914,,,,
de:08136:4616,Jagstzell-Ropfershof,49.037749,10.129717,,,,
de:08136:4618:0:1,Jagstzell-Schweighausen,49.014706,10.106918,,,,
de:08136:4618:0:2,Jagstzell-Schweighausen,49.014764,10.106855,,,,
de:08136:4621,Jagstzell-Spielegert,49.042495,10.067644,,,,
de:08136:4622:0:1,Jagstzell Rosenberger Str.,49.042495,10.067644,,,,
de:08136:4623,Jagstzell Rothof Abzweig,49.039144,10.131442,,,,
de:08136:4624:0:1,Jagstzell An der Jagst,49.029651,10.098816,,,,
de:08136:4624:0:2,Jagstzell An der Jagst,49.029533,10.098914,,,,
de:08136:4625:0:1,Jagstzell Rechenberger Straße,49.029774,10.103855,,,,
de:08136:4625:0:2,Jagstzell Rechenberger Straße,49.029727,10.103936,,,,
de:08136:4626:0:1,Jagstzell Rot,49.040399,10.132035,,,,
de:08136:4627:0:1,Jagstzell Unterer Weiler,49.031948,10.087721,,,,
de:08136:4627:0:2,Jagstzell Unterer Weiler,49.031918,10.088036,,,,
de:08136:4628:0:1,Jagstzell-Eulenmühle,49.054500,10.160853,,,,
de:08136:4629:0:2,Dankoltsweiler Sägmühle,49.009179,10.135386,,,,
de:08136:4700:0:hin,Benzenzimmern,48.889591,10.436735,,,,
de:08136:4700:0:ignor,Benzenzimmern,48.890028,10.436196,,,,
de:08136:4700:0:rück,Benzenzimmern,48.890016,10.436303,,,,
de:08136:4701:0:hin,Dirgenheim Kreuz,48.888510,10.409192,,,,
de:08136:4701:0:ignor,Dirgenheim Kreuz,48.888510,10.409327,,,,
de:08136:4701:0:rück,Dirgenheim Kreuz,48.888581,10.409282,,,,
de:08136:4702:0:hin,Dirgenheim Ort,48.890583,10.408725,,,,
de:08136:4702:0:ignor,Dirgenheim Ort,48.890619,10.408725,,,,
de:08136:4702:0:rück,Dirgenheim Ort,48.890654,10.408725,,,,
de:08136:4703:0:ignor,Jagstheim Ort,48.891239,10.383402,,,,
de:08136:4703:0:rück,Jagstheim Ort,48.891286,10.383375,,,,
de:08136:4704,Jagstheim Abzw.,48.893495,10.391891,,,,
de:08136:4705,Kalkofen,48.869245,10.375389,,,,
de:08136:4706:0:hin,Kirchheim Goalstraße,48.878355,10.394388,,,,
de:08136:4706:0:ignor,Kirchheim Goalstraße,48.878757,10.394262,,,,
de:08136:4706:0:rück,Kirchheim Goalstraße,48.878651,10.393840,,,,
de:08136:4707:0:hin,Kirchheim Huftenstraße,48.876158,10.403928,,,,
de:08136:4707:0:ignor,Kirchheim Huftenstraße,48.876152,10.403991,,,,
de:08136:4707:0:rück,Kirchheim Huftenstraße,48.876211,10.403955,,,,
de:08136:4708:0:hin,Kirchheim Raiba,48.877676,10.399922,,,,
de:08136:4708:0:ignor,Kirchheim Raiba,48.877989,10.399338,,,,
de:08136:4708:0:rück,Kirchheim Raiba,48.877682,10.399643,,,,
de:08136:4709:0:ignor,Kirchheim Schule,48.878556,10.401925,,,,
de:08136:4709:0:rück,Kirchheim Schule,48.878609,10.401988,,,,
de:08136:4710,Osterholz Ort,48.864186,10.383878,,,,
de:08136:4711,Osterholz Abzw.,48.870025,10.386016,,,,
de:08136:4712,Kirchheim Bopfinger Str.,48.877044,10.392897,,,,
de:08136:4800,Gromberg,48.874710,10.262336,,,,
de:08136:4800:0:1,Gromberg,48.874710,10.262336,,,,
de:08136:4800:0:2,Gromberg,48.874710,10.262336,,,,
de:08136:4801,Hülen Bäckerei,48.859086,10.222621,,,,
de:08136:4801:0:1,Hülen Bäckerei,48.859086,10.222621,,,,
